source_uri,domain_url,newspaper_name,newspaper_url,country_name,country_url,rank_in_country,status,dominant_language,language_percentage,rerun,rerun_keyword_only,need_scrape
hurriyet.com.tr,http://www.hurriyet.com.tr, Hürriyet,http://www.4imn.com/reviews/1445.htm,Turkey,http://www.4imn.com/tr/,1,success,tur,100.0,,,
milliyet.com.tr,http://www.milliyet.com.tr, Milliyet Gazetesi,http://www.4imn.com/reviews/1444.htm,Turkey,http://www.4imn.com/tr/,2,success,tur,100.0,,,
aksam.com.tr,http://www.aksam.com.tr, Aksam Gazetesi,http://www.4imn.com/reviews/1447.htm,Turkey,http://www.4imn.com/tr/,3,success,tur,100.0,,,
sozcu.com.tr,http://www.sozcu.com.tr, Sözcü,http://www.4imn.com/reviews/18388.htm,Turkey,http://www.4imn.com/tr/,4,success,tur,100.0,,,
sabah.com.tr,http://www.sabah.com.tr, Sabah,http://www.4imn.com/reviews/1446.htm,Turkey,http://www.4imn.com/tr/,5,success,tur,100.0,,,
panorama.com.al,http://www.panorama.com.al, Panorama,http://www.4imn.com/reviews/3709.htm,Albania,http://www.4imn.com/al/,1,success,sqi,100.0,,,
kohajone.com,http://www.kohajone.com, Koha Jonë,http://www.4imn.com/reviews/2.htm,Albania,http://www.4imn.com/al/,2,success,sqi,100.0,,,
gazetatema.net,http://www.gazetatema.net, Gazeta Tema,http://www.4imn.com/reviews/3714.htm,Albania,http://www.4imn.com/al/,3,success,sqi,100.0,,,
shekulli.com.al,http://shekulli.com.al, Shekulli,http://www.4imn.com/reviews/3.htm,Albania,http://www.4imn.com/al/,4,success,sqi,100.0,,,
derstandard.at,http://derstandard.at, Der Standard,http://www.4imn.com/reviews/69.htm,Austria,http://www.4imn.com/at/,1,success,deu,100.0,,,
krone.at,http://www.krone.at, Neue Kronen Zeitung,http://www.4imn.com/reviews/70.htm,Austria,http://www.4imn.com/at/,2,success,deu,100.0,,,
diepresse.com,http://diepresse.com, Die Presse,http://www.4imn.com/reviews/79.htm,Austria,http://www.4imn.com/at/,3,success,deu,100.0,,,
kurier.at,http://kurier.at, Kurier,http://www.4imn.com/reviews/71.htm,Austria,http://www.4imn.com/at/,4,success,deu,100.0,,,
kleinezeitung.at,http://www.kleinezeitung.at, Kleine Zeitung,http://www.4imn.com/reviews/73.htm,Austria,http://www.4imn.com/at/,5,success,deu,100.0,,,
hln.be,http://www.hln.be, Het Laatste Nieuws,http://www.4imn.com/reviews/3893.htm,Belgium,http://www.4imn.com/be/,1,success,eng,100.0,,,
nieuwsblad.be,http://www.nieuwsblad.be, Het Nieuwsblad,http://www.4imn.com/reviews/104.htm,Belgium,http://www.4imn.com/be/,2,success,eng,96.0,,,
lesoir.be,http://www.lesoir.be, Le Soir,http://www.4imn.com/reviews/105.htm,Belgium,http://www.4imn.com/be/,3,success,fra,100.0,,,
standaard.be,http://www.standaard.be, De Standaard,http://www.4imn.com/reviews/101.htm,Belgium,http://www.4imn.com/be/,4,success,nld,100.0,,,
lalibre.be,http://www.lalibre.be, La Libre Belgique,http://www.4imn.com/reviews/106.htm,Belgium,http://www.4imn.com/be/,5,success,fra,100.0,,,
avaz.ba,https://avaz.ba, Dnevni avaz,http://www.4imn.com/reviews/123.htm,Bosnia and Herzegovina,http://www.4imn.com/ba/,1,success,hrv,94.0,,,
nezavisne.com,http://www.nezavisne.com, Nezavisne novine,http://www.4imn.com/reviews/3926.htm,Bosnia and Herzegovina,http://www.4imn.com/ba/,2,success,hrv,96.0,,,
oslobodjenje.ba,http://www.oslobodjenje.ba, Oslobodenje,http://www.4imn.com/reviews/124.htm,Bosnia and Herzegovina,http://www.4imn.com/ba/,3,success,hrv,92.0,,,
glassrpske.com,http://www.glassrpske.com, Glas Srpske,http://www.4imn.com/reviews/3928.htm,Bosnia and Herzegovina,http://www.4imn.com/ba/,4,success,srp,100.0,,,
dnevni-list.ba,https://www.dnevni-list.ba, Dnevni list,http://www.4imn.com/reviews/3927.htm,Bosnia and Herzegovina,http://www.4imn.com/ba/,5,success,hrv,100.0,,,
capital.bg,http://www.capital.bg, Capital Daily,http://www.4imn.com/reviews/171.htm,Bulgaria,http://www.4imn.com/bg/,1,failed,bul,50.0,Yes,,
dnevnik.bg,http://www.dnevnik.bg, Dnevnik,http://www.4imn.com/reviews/168.htm,Bulgaria,http://www.4imn.com/bg/,2,failed,bul,60.0,,,Yes
standartnews.com,http://www.standartnews.com, Standart,http://www.4imn.com/reviews/166.htm,Bulgaria,http://www.4imn.com/bg/,3,success,bul,100.0,,,
24chasa.bg,http://www.24chasa.bg,24 Chasa,http://www.4imn.com/reviews/4758.htm,Bulgaria,http://www.4imn.com/bg/,4,failed,bul,100.0,Yes,,
segabg.com,http://www.segabg.com, Sega,http://www.4imn.com/reviews/167.htm,Bulgaria,http://www.4imn.com/bg/,5,success,bul,100.0,,,
jutarnji.hr,http://www.jutarnji.hr, Jutarnji List,http://www.4imn.com/reviews/13998.htm,Croatia,http://www.4imn.com/hr/,1,success,hrv,100.0,,,
